Sentence Number,Token,Label
Sentence 1,48,O
,##8,O
,SM,O
,##IT,O
,##H,O
,.,O
,LA,B-GeographicalLocation
,##KE,I-GeographicalLocation
,LA,I-GeographicalLocation
,##NA,I-GeographicalLocation
,##O,I-GeographicalLocation
,AS,O
,##L,O
,),O
,VI,O
,##CI,O
,##NI,O
,##TY,O
,.,O
,All,O
,of,O
,the,O
,work,O
,in,O
,the,O
,region,O
,of,O
,Z,B-GeographicalLocation
,##am,I-GeographicalLocation
,##boa,I-GeographicalLocation
,##nga,I-GeographicalLocation
,and,O
,the,O
,Sul,B-GeographicalLocation
,##u,I-GeographicalLocation
,Archipelago,I-GeographicalLocation
,which,O
,it,O
,was,O
,at,O
,all,O
,feasible,O
,to,O
,undertake,O
,at,O
,this,O
,time,O
,having,O
,been,O
,completed,O
,",",O
,we,O
,left,O
,Z,O
,##am,O
,##boa,O
,##nga,O
,",",O
,J,O
,##sto,O
,##ve,O
,##mber,O
,6,O
,",",O
,for,O
,Over,O
,##ton,O
,.,O
,As,O
,our,O
,vessel,O
,kept,O
,close,O
,to,O
,the,O
,coast,O
,",",O
,I,O
,was,O
,able,O
,to,O
,make,O
,some,O
,notes,O
,which,O
,throw,O
,considerable,O
,light,O
,on,O
,the,O
,geologic,O
,changes,O
,now,O
,going,O
,on,O
,.,O
,The,O
,west,O
,coast,O
,of,O
,Mindanao,B-GeographicalLocation
,has,O
,ve,O
,##r,O
,##j,O
,',O
,certainly,O
,risen,O
,in,O
,comparatively,O
,recent,O
,times,O
,.,O
,Near,O
,Point,B-GeographicalLocation
,Blanc,I-GeographicalLocation
,##a,I-GeographicalLocation
,on,O
,the,O
,northwestern,O
,part,O
,of,O
,the,O
,coast,O
,I,O
,saw,O
,a,O
,fine,O
,example,O
,of,O
,a,O
,raised,O
,delta,O
,",",O
,the,O
,elevation,O
,amount,O
,##ing,O
,to,O
,at,O
,least,O
,10,O
,meters,O
,.,O
,The,O
,characteristic,O
,structure,O
,of,O
,the,O
,delta,O
,was,O
,clearly,O
,revealed,O
,by,O
,the,O
,extensive,O
,marine,O
,erosion,O
,which,O
,had,O
,taken,O
,place,O
,.,O
,There,O
,were,O
,also,O
,many,O
,fine,O
